zone_geo;AGE_INF_18;AGE_18&19;AGE_20_24;AGE_25_29;AGE_30_34;AGE_35_39;AGE_40&plus;annee
Meurthe-et-Moselle;71;142;541;469;467;328;123;2022
Meuse;19;16;91;84;84;66;23;2022
Morbihan;65;117;424;397;427;320;171;2022
Moselle;66;144;559;592;666;485;219;2022
Nièvre;9;24;88;82;83;70;34;2022
Nord;288;546;2030;2018;1759;1327;612;2022
Oise;76;126;565;636;585;432;236;2022
Orne;26;51;146;123;106;87;38;2022
Pas-de-Calais;159;213;934;992;913;679;269;2022
Puy-de-Dôme;46;134;488;436;380;312;131;2022
Pyrénées-Atlantiques;57;101;426;416;438;340;164;2022
Hautes-Pyrénées;24;21;133;134;136;101;45;2022
Pyrénées-Orientales;64;138;470;435;460;316;126;2022
Bas-Rhin;94;156;667;668;598;469;216;2022
Haut-Rhin;46;107;433;420;414;321;155;2022
Rhône;148;367;1612;1564;1457;1068;519;2022
Haute-Saône;25;35;142;130;141;108;35;2022
Saône-et-Loire;37;72;267;263;251;205;84;2022
Sarthe;40;83;326;353;263;198;110;2022
Savoie;27;67;284;273;306;212;100;2022
Haute-Savoie;55;148;544;705;712;517;248;2022
Paris;134;342;1734;2456;2002;1310;618;2022
Seine-Maritime;114;234;901;864;795;566;234;2022
Seine-et-Marne;160;375;1383;1477;1508;1149;542;2022
Yvelines;99;225;973;1024;987;846;409;2022
Deux-Sèvres;32;53;188;175;198;127;77;2022
Somme;54;128;479;373;347;237;109;2022
Tarn;40;75;285;268;228;183;97;2022
Tarn-et-Garonne;56;38;184;181;212;126;89;2022
Var;146;264;996;1024;1058;847;436;2022
Vaucluse;83;131;492;486;531;397;179;2022
Vendée;47;69;312;296;303;265;116;2022
Vienne;44;89;306;247;229;163;75;2022
Haute-Vienne;38;85;280;261;212;139;78;2022
Vosges;23;63;212;210;211;160;59;2022
Yonne;30;40;193;221;230;184;71;2022
Territoire de Belfort;25;27;99;94;91;49;36;2022
Essonne;141;272;1261;1443;1292;1000;435;2022
Hauts-de-Seine;108;267;1259;1426;1409;1051;500;2022
Seine-Saint-Denis;188;481;1944;2157;2106;1422;685;2022
Val-de-Marne;123;334;1453;1576;1480;1112;554;2022
Val-d'Oise;119;329;1205;1442;1303;1014;488;2022
Guadeloupe;109;202;635;832;828;581;297;2022
Martinique;60;103;477;537;528;339;148;2022
Guyane;187;233;804;862;775;575;294;2022
La Réunion;238;354;1113;1048;1046;694;273;2022
Mayotte;177;145;373;383;299;194;86;2022
Auvergne -  Rhône-Alpes;626;1386;5544;5646;5449;4129;2005;2022
Bourgogne -  Franche-Comté;235;399;1592;1643;1576;1204;527;2022
Bretagne;279;551;1960;1883;1875;1474;700;2022
Centre -  Val de Loire;248;437;1698;1651;1605;1205;545;2022
Corse;26;46;220;264;274;231;119;2022
Grand Est;449;844;3386;3304;3275;2464;1070;2022
Hauts-de-France;636;1125;4359;4363;3929;2927;1333;2022
Ile-de-France;1072;2625;11212;13001;12087;8904;4231;2022
Normandie;297;560;2029;1974;1904;1479;633;2022
Nouvelle-Aquitaine;553;1013;4137;4082;3928;2944;1400;2022
Occitanie;630;1188;5016;4832;4481;3451;1672;2022
Pays de la Loire;262;573;2130;2119;1926;1537;725;2022
Provence - Alpes - Côte d'Azur;632;1224;4944;5267;5113;4092;1962;2022
Ain;43;84;303;357;374;296;138;2021
Aisne;62;99;354;339;316;232;112;2021
Allier;35;59;211;196;157;144;70;2021
Alpes-de-Haute-Provence;18;29;124;115;125;93;61;2021
Hautes-Alpes;19;17;87;104;120;107;37;2021
Alpes-Maritimes;131;203;915;1094;1121;841;428;2021
Ardèche;22;34;169;167;212;179;88;2021
Ardennes;27;33;137;136;161;120;39;2021
Ariège;18;23;90;114;120;108;47;2021
Aube;30;67;238;218;164;138;53;2021
Aude;38;65;284;288;270;227;105;2021
Aveyron;19;30;124;124;140;111;51;2021
Bouches-du-Rhône;238;450;2095;2251;2082;1564;735;2021
Calvados;64;103;356;362;321;255;112;2021
Cantal;8;25;70;63;55;50;21;2021
Charente;33;64;183;194;191;169;56;2021
Charente-Maritime;53;83;352;380;429;271;148;2021
Cher;28;42;189;170;175;125;53;2021
Corrèze;20;40;156;142;129;108;36;2021
Corse-du-Sud;9;19;103;117;126;102;49;2021
Haute-Corse;13;26;113;155;126;108;44;2021
Côte-d'Or;34;62;306;344;307;225;94;2021
Côtes-d'Armor;49;82;306;319;319;257;121;2021
Creuse;6;13;50;43;52;36;23;2021
Dordogne;38;47;238;232;249;184;98;2021
Doubs;32;91;366;346;310;264;112;2021
Drôme;39;74;335;323;322;292;98;2021
Eure;52;98;336;356;371;283;129;2021
Eure-et-Loir;38;50;238;226;244;213;87;2021
Finistère;62;130;462;411;423;363;190;2021
Gard;88;131;548;509;549;473;197;2021
Haute-Garonne;119;215;1161;1253;1107;844;369;2021
Gers;12;27;79;84;91;88;36;2021
Gironde;127;270;1082;1242;1148;883;437;2021
Hérault;137;239;1084;1077;980;734;357;2021
Ille-et-Vilaine;58;126;584;605;531;459;196;2021
Indre;14;32;103;123;91;90;38;2021
Indre-et-Loire;41;87;315;321;289;255;105;2021
Isère;101;198;729;760;742;569;267;2021
Jura;22;32;128;132;138;94;47;2021
Landes;24;63;208;207;234;194;109;2021
Loir-et-Cher;18;47;151;132;162;134;49;2021
Loire;54;104;460;454;459;355;166;2021
Haute-Loire;17;32;90;111;105;86;29;2021
Loire-Atlantique;95;206;801;862;863;656;309;2021
Loiret;86;104;437;456;475;363;173;2021
Lot;22;31;97;90;102;92;31;2021
Lot-et-Garonne;25;50;198;231;207;165;75;2021
Lozère;1;14;42;33;55;23;13;2021
Maine-et-Loire;59;107;408;399;359;297;136;2021
Manche;31;39;174;208;193;137;74;2021
Marne;40;73;350;364;352;263;107;2021
Haute-Marne;19;21;93;87;87;73;39;2021
